Unnamed: 0,cd_loc,latlong
211,문현동 문현금융로 국제금융센터판매시설 부근,"[35.1472297, 129.0657929]"
212,대연3동 강원유리 부근,"[35.1302741, 129.1000246]"
213,용호동 용호로 중앙해수랜드 부근,"[35.1256955, 129.1107071]"
214,대연동 유엔로96번길 1 부근(횡단보도위),"[35.1290678, 129.0870637]"
215,대연동 용소로40번길 조개야 부근,"[35.1337198, 129.100151]"
216,용호동 LG메트로상가CCTV,"[35.1298466, 129.1110979]"
217,대연동 용소로7번길 63-4 부근,"[35.13833899999999, 129.1033756]"
218,대연동 용소로28번길 쥬씨 생과일주스전문점 부근,"[35.135026, 129.1006426]"
219,대연동 유엔로157번길 스타벅스 부근,"[35.1350518, 129.0930173]"
220,대연사거리하나투어CCTV(곡각/횡단보도),"[35.1352058, 129.0905928]"
221,대연동 수영로334번길 47 부근,"[35.1364358, 129.1037043]"
222,대연동 용소로 46 부근,"[35.1331572, 129.1007612]"
223,감만동 신선로 현대오일뱅크 부산물류센터 부근,"[35.1098686, 129.0886978]"
224,대연동 황령대로319번가길 다이소 부근,"[35.1520216, 129.0886991]"
225,대연동 유엔로96번길 30 부근,"[35.1279132, 129.0876584]"
226,대연동 용소로28번길 명작가 부근,"[35.1349201, 129.0996702]"
227,문현동 황령대로74번길 95 부근,"[35.1455783, 129.0675416]"
228,문현동 우암로 한일오피스텔 부근,"[35.1364206, 129.0670324]"
229,문현동 한양아파트 부근,"[35.1442253, 129.0728372]"
230,문현동 고동골로 문현초등학교 뒤 부근,"[35.1453363, 129.072865]"
231,용호동 동명로92번길 동명생활관 1호관 부근,"[35.1167923, 129.1064915]"
232,대연동 남구청사거리CCTV(정류장),"[35.1365783, 129.0842468]"
233,용호동 분포로 W아이에스동서입구 부근,"[35.1295917, 129.11584]"
234,대연동 유엔평화로47번길 금강주차장 부근,"[35.1307995, 129.0968608]"
235,감만1동 동일스위트아파트부근,"[35.1190896, 129.0827259]"
236,용호4동 쌍용예가아파트 부근,"[35.1129687, 129.1096745]"
237,감만동 석포로26번길 동천초등학교 부근(안전지대),"[35.12133610000001, 129.0834887]"
238,대연동 석포초교앞CCTV(인도),"[35.12645, 129.091336]"
239,문현동 수영로39번길 문현BB골프클럽 부근,"[35.1375683, 129.0730558]"
240,용호동 현대비치앞CCTV(인도),"[35.1262281, 129.1083344]"
241,우암동 동제당로 형제주차장 부근,"[35.1563131, 129.1239053]"
242,대연동 수영로176번길 14 부근,"[35.1341833, 129.0861398]"
243,용호2동 용호2치안센터 부근,"[35.1130075, 129.1111678]"
244,문현동 남동천로 BIFC 2단계 공사현장 2번게이트 부근,"[35.1407749, 129.0654098]"
245,감만동 8부두로 11-1 부근(교차로 모퉁이),"[35.1183868, 129.0789364]"
246,대연1동 천제등로 부근,"[35.135144, 129.091861]"
247,문현동 고동골로78번길 79 부근,"[35.1439975, 129.0758516]"
248,감만동 양지골로 284 부근,"[35.1195901, 129.085708]"
249,대연동 대연사거리CCTV(횡단보도),"[35.1351157, 129.091919]"
250,대연동 렌즈미 앞 CCTV,"[35.1364043, 129.1002376]"
251,대연동 홍곡로 남광시장 부근,"[35.1239225, 129.0887252]"
252,용호동 이기대공원로 환경공단관사 부근,"[35.1258233, 129.1149922]"
253,대연동 수영로 성소병원 부근,"[35.135009, 129.085745]"
254,문현동 고동골로 문현베스티움아파트 부근(횡단보도),"[35.1397443, 129.0705649]"
255,대연동 수영로266번길 37 부근(횡단보도),"[35.134825, 129.0973591]"
256,대연동 수영로325번길 푸르지오 아파트 부근,"[35.1390598, 129.1020569]"
257,대연동 못골로 (구) 양산박 부근,"[35.1361824, 129.0906773]"
258,문현동 수영로 대림시티프라자 부근,"[35.1363929, 129.0704488]"
259,용호동 용호로 가야포차선지국밥 부근,"[35.1097568, 129.1117709]"
260,문현동 문현금융로 BIFC 부근(직각),"[35.1472297, 129.0657929]"
261,대연동 대연비치앞CCTV,"[35.136505, 129.108556]"
262,우암동 우암로154번길 자유3차 아파트 부근,"[35.1231724, 129.0809204]"
263,문현동 고동골로59번길 90 부근,"[35.1416266, 129.0691997]"
264,대연6동 보건소 부근(횡단보도),"[35.1349208, 129.0836701]"
265,우암동 자유2차아파트부근,"[35.12625540000001, 129.0812536]"
266,용호동 GS하이츠자이아파트 부근,"[35.1327553, 129.1109465]"
267,대연동 진남로69번길 못골성당 부근(곡각지),"[35.1372222, 129.0872222]"
268,용호동 현대비치 앞 CCTV,"[35.12595260000001, 129.1098341]"
269,용호동 GS하이츠자이아파트부근,"[35.1327553, 129.1109465]"
270,문현동 고동골로47번길 베스티움 부근,"[35.1401833, 129.0713133]"
271,문현2동 한국은행부근,"[35.1454134, 129.0642275]"
272,용호동 용호로 휴마트 부근,"[35.1177392, 129.1112556]"
273,대연동 대천초삼거리CCTV,"[35.1850746, 129.1053979]"
274,문현동 전포대로91번길 한국은행 부근,"[35.1454134, 129.0642275]"
275,감만동 북항로 동부터미널 부근,"[35.1083685, 129.0730604]"
276,감만1동 북항로부근,"[35.1076419, 129.0815031]"
277,감만동 8부두로 명성밧데리 부근,"[35.1170892, 129.0771011]"
278,용호동 베스트부동산CCTV(정류장),"[35.1313677, 129.1137879]"
279,용호동 베스트부동산CCTV(곡각/횡단보도),"[35.1313564, 129.1131883]"
280,문현2동 문전역 부근,"[35.1454655, 129.0667495]"
281,용호동 오륙도로 오륙도SK뷰 아파트 부근,"[35.1025645, 129.1191118]"
282,감만동 남광시장 앞 CCTV(횡단보도),"[35.1239225, 129.0887252]"
283,대연동 석포로127번길 26 부근,"[35.1290608, 129.0891139]"
284,대연1동 천제등로부근,"[35.135144, 129.091861]"
285,감만동 우암로 밀양돼지국밥 부근,"[35.1138163, 129.081544]"
286,감만동 무민사로 그린물세탁 부근,"[35.1118439, 129.0802181]"
287,감만동 무민사로 판테라오피스텔 부근,"[35.1118439, 129.0802181]"
288,문현동 문현교차로CCTV(횡단보도),"[35.136865, 129.0678657]"
289,문현1동 대흥천보약국부근,"[35.1440864, 129.0716429]"
290,대연동 수영로267번길 42 부근,"[35.1367943, 129.0955925]"
291,용호동 분포로 동서아이에스 W아파트 부근,"[35.1295917, 129.11584]"
292,용호1동 GS하이츠자이아파트부근(횡단보도),"[35.1327553, 129.1109465]"
293,용호동 용호로232번길 성모병원 부근(횡단보도),"[35.1106981, 129.1096188]"
294,용호동 용호로159번길 30 부근,"[35.1179504, 129.1167762]"
295,문현동 진남로232번길 2 부근(인도),"[35.1462013, 129.0754559]"
296,감만동 부산은행앞CCTV,"[35.1161487, 129.0814498]"
297,문현1동 남동천로 부근,"[35.1420866, 129.065088]"
298,대연동 천제등로 동성하이타운 부근,"[35.1335158, 129.0871219]"
299,감만동 북항로 동원터미널 부근,"[35.1083685, 129.0730604]"
300,감만1동 북항로부근(1차선주차),"[35.1087722, 129.0804289]"
301,대연동 천제등로 경동택배 부근,"[35.13180020000001, 129.0898558]"
302,감만동 북항로 북항로 부근(1차선주차),"[35.1087722, 129.0804289]"
303,감만동 8부두로 7 부근,"[35.1185603, 129.0794949]"
304,감만동 북항로 감만부두 부근,"[35.1073123, 129.0815325]"
305,감만동 북항로 동원터미널 부근(1차선주차),"[35.1087722, 129.0804289]"
306,대연동 천제등로 부영카정비 부근,"[35.13151, 129.089752]"
307,감만동 8부두로 쌍희반점 부근,"[35.118652, 129.0797877]"
308,감만동 북항로 동원익스프레스 터미널 부근,"[35.1083685, 129.0730604]"
309,대연동 유엔로 200 부근(횡단보도),"[35.1299524, 129.0980266]"
310,대연동 수영로358번길 홍소족발 부근,"[35.1387091, 129.1049411]"
311,문현동 지게골로 롯데슈퍼 부근(사선),"[35.1357719, 129.0704109]"
312,문현동 장고개로63번길 17 부근,"[35.1308532, 129.0694618]"
313,용호동 용호로232번길 성모병원 부근,"[35.1106981, 129.1096188]"
314,문현동 장고개로85번길 배정고등학교 부근,"[35.1321433, 129.0674214]"
315,대연동 유엔로157번가길 삼호빌라 부근,"[35.1326591, 129.0964892]"
316,대연동 진남로29번길 대연교회 부근,"[35.1380042, 129.090683]"
317,용호3동 이기대공원로 부근(도로가운데주차),"[35.1242564, 129.12]"
318,용호동 성모약국 앞 CCTV(곡각지),"[35.1116204, 129.1111247]"
319,감만동 우암로26번길 23 부근,"[35.1135285, 129.0830607]"
