Unnamed: 0.1,cd_loc,latlong,lat,long,district
4288,대연동 못골로 남구청 부근(인도),"[35.1365783, 129.0842468]",35.1365783,129.0842468,257.0
4289,용호동 용호로216번길 예가아파트 부근(곡각/횡단보도),"[35.1129687, 129.1096745]",35.1129687,129.1096745,617.0
4290,감만동 태양3급자동차정비부근,"[35.1120502, 129.0809651]",35.112050200000006,129.0809651,233.0
4291,용호1동 용호1동주민센터부근,"[35.1304795, 129.1120834]",35.1304795,129.11208340000002,644.0
4292,대연동 석포로126번길 가람 ART HALL 부근,"[35.1276834, 129.0928038]",35.127683399999995,129.09280379999998,401.0
4293,용호동 동명로118번길 91 부근,"[35.1160675, 129.1096891]",35.1160675,129.10968909999997,616.0
4294,용호동 용호로198번길 하경헤어 부근,"[35.1147059, 129.1099422]",35.114705900000004,129.1099422,617.0
4295,용호동 동명로 호호삽겹살 부근(횡단보도),"[35.1190685, 129.1143856]",35.1190685,129.1143856,685.0
4296,대연동 용소로7번길 33 부근,"[35.1375937, 129.1019709]",35.137593700000004,129.1019709,501.0
4297,감만동 북항로 감만시민부두 부근(횡단보도),"[35.1092849, 129.0685608]",35.1092849,129.0685608,94.0
4298,용호3동 동부타워아파트부근(인도),"[35.1182015, 129.1178337]",35.1182015,129.1178337,720.0
4299,대연동 수영로346번길 에이스케슬 부근,"[35.1376615, 129.104215]",35.1376615,129.10421499999998,536.0
4300,용호동 동명로169번길 승지주차장 부근,"[35.1185288, 129.1171988]",35.11852879999999,129.11719879999998,720.0
4301,대연4동 새마을금고부근(곡각지),"[35.1296441, 129.0905304]",35.1296441,129.0905304,365.0
4302,용호동 동명로118번길 87 부근,"[35.1162695, 129.1096886]",35.1162695,129.1096886,616.0
4303,용호동 용호로216번길 예가정문앞 부근,"[35.1133929, 129.1098099]",35.1133929,129.10980990000002,617.0
4304,용호동 용호로216번길 성은교회 부근,"[35.1133408, 129.1098068]",35.1133408,129.1098068,617.0
4305,용호동 현대비치앞CCTV(사선),"[35.1262281, 129.1083344]",35.1262281,129.10833440000002,576.0
4306,문현동 수영로13번길 맛나김밥 부근,"[35.138408, 129.0697092]",35.138408,129.0697092,81.0
4307,대연동 석포로126번길 17 부근,"[35.1281928, 129.0923449]",35.128192799999994,129.0923449,366.0
4308,대연동 수영로334번길 동래통닭 부근,"[35.1506047, 129.1158996]",35.1506047,129.1158996,
4309,대연동 유엔평화로13번길 51 부근,"[35.1340037, 129.094877]",35.1340037,129.094877,398.0
4310,용호동 용호로42번길 삼성시장 부근,"[35.1150231, 129.1126769]",35.1150231,129.1126769,652.0
4311,용호동 용호로198번길 하나약국 부근,"[35.1147851, 129.1108067]",35.114785100000006,129.1108067,617.0
4312,대연동 혁신지구 부근(횡단보도),"[35.138647, 129.1024086]",35.138647,129.1024086,501.0
4313,문현동 전포대로122번길 29 부근,"[35.1479665, 129.0685981]",35.147966499999995,129.0685981,77.0
4314,용호동 용호로177번길 뮤엠영어 부근,"[35.1220579, 129.1102103]",35.122057899999994,129.11021029999998,613.0
4315,용호동 동명로132번길 남도영양탕 부근,"[35.1196304, 129.1110998]",35.1196304,129.11109979999998,614.0
4316,감만동 북항로 감만시민부두 부근(안전지대),"[35.1087722, 129.0804289]",35.108772200000004,129.08042890000002,234.0
4317,용호동 동명로132번길 오크닭 부근,"[35.1196486, 129.1113822]",35.119648600000005,129.11138219999998,614.0
4318,문현3동 구.문현지구대부근(인도),"[35.1388867, 129.0697472]",35.1388867,129.0697472,81.0
4319,용호동 동명로170번길 1 부근(곡각지),"[35.1187941, 129.1154932]",35.1187941,129.1154932,685.0
4320,대연동 못골로 대연초등학교앞 부근(횡단보도),"[35.1373593, 129.092003]",35.1373593,129.092003,361.0
4321,용당동 신선대산복로 현대아이파크 부근(인도),"[35.1119505, 129.1034747]",35.1119505,129.1034747,548.0
